要件ID,仕様書参照,対象機能,対象画面,対象ロール,事前条件,操作,期待結果,実装箇所,テストID,検証方法,検証証拠,結果,不具合ID,備考
UX-P0-001,機能要件v0.2 §6 P0,PC専用・高密度App Shell,全画面,全ロール,ログイン済み,1280/1440/1920px で表示,固定サイドバー・48px前後ヘッダー・パンくず・全体検索・右詳細ドロワーが表示されモバイル専用画面が無い,src/components/shared/app-shell.tsx,TC-001,実ブラウザ(1440x900)+全画面クロール,qa/evidence/logs/e2e-demo.txt「到達可能な全画面が描画される」83+17ページ,PASS,,Sidebar224/64px・TopBar48px・Compact密度を実測
UX-P0-002,機能要件v0.2 §6 P0,企業／監査法人ワークスペース分離,/workspace 他,全ロール,複数ワークスペース所属,ログイン後にワークスペース選択,企業と監査法人でホーム・ナビ・用語・主要アクションが切替わる,src/app/(auth)/workspace/page.tsx / nav-config.ts,TC-002,実ブラウザ,企業nav15項目・監査法人nav14項目をクリック検証（qa/evidence/logs/e2e-demo.txt）,PASS,,別ナビ・別Dashboardを確認
UX-P0-003,機能要件v0.2 §6 P0,青・白基調ブランドUI,全画面,全ロール,-,画面表示,白面・青主要操作・左上T4Dロゴ常時表示,src/app/globals.css / brand-logo.tsx,TC-003,実ブラウザ+axe,ロゴ実体埋め込みテスト+a11yコントラスト4画面,PASS,,ロゴはpublic/brand/t4d-logo.png実体
UX-P0-004,機能要件v0.2 §6 P0,一覧操作の標準化,/enterprise/data 他,全ロール,データ25件以上,一覧の各操作,固定列/列表示切替/並べ替え/複合フィルター/検索/サーバーページング/一括選択/一括操作/保存ビュー/CSV出力の10機能すべて,src/components/shared/table-controls.tsx / filter-bar.tsx / pagination.tsx / bulk-actions.tsx,TC-004,実ブラウザ,table-controls.spec.ts 5件PASS（値の昇順降順・1頁目復帰・列切替のURL保持・指標列固定・不正入力）+従来の検索/フィルター/保存ビュー/ページング/一括/CSV,PASS,BUG-016,本QAで列表示切替と並べ替えを実装し10機能すべて充足（BUG-016は修正済み）
UX-P0-005,機能要件v0.2 §6 P0,三ペインレビュー,/assurance/.../testing,監査法人,案件アサイン済み,Testing画面表示,左Population/中央データ/右Evidence の三ペイン,src/app/assurance/engagements/[engagementId]/testing/page.tsx,TC-005,実ブラウザ,vertical-slices「12. Testing 三ペインで手続結果と結論を記録できる」PASS,PASS,,
UX-P0-006,機能要件v0.2 §6 P0,状態・例外の視認性,全一覧,全ロール,-,状態表示,色のみに依存せずラベル＋アイコンで状態表示,src/components/shared/badges.tsx,TC-006,axe+コード,a11y critical/serious 0件（4画面）。全Badgeがlabel+icon,PASS,,contrast違反はトークン修正で解消済み
UX-P0-007,機能要件v0.2 §6 P0,キーボード・作業効率,全画面,全ロール,ログイン済み,Ctrl+K / / / j / k / e / c / s / Esc,主要操作がキーボードで実行できる,src/components/shared/record-shortcuts.tsx / command-palette.tsx,TC-007,実ブラウザ,「j/kで一覧のレコード間を移動」「eでEvidenceセクションへ移動」「入力中は発火しない」PASS,PASS,,sは下書き保存のみに限定（誤確定防止）
AUTH-P0-001,機能要件v0.2 §6 P0,マルチテナント認証,/login /enterprise/settings /invite /reset /mfa,全ロール,-,メール招待・ログイン・パスワード再設定・MFA,別組織として管理され各認証機能が動作,src/lib/services/identity.ts / src/lib/auth/ / (auth)/invite・reset・mfa,TC-008,実ブラウザ+実Supabase Auth,"integration identity 7件+review-fixes 3件PASS / e2e auth-copilot「招待リンク発行→受諾→参加」「失効招待は使用不可」PASS / e2e-supabase auth-security 4件PASS（招待受諾で実Authアカウント作成→ログイン／パスワード再設定の通し／MFA登録→AAL1遮断→検証後入場／再設定リンクの他テナント発行拒否）",PASS,BUG-017/037/038/040/048,招待はアプリ内リンク方式（外部メール送信禁止のため。generateLink・createUserいずれも送信を伴わない）。再設定リンクは自組織メンバーのみ・監査ログ記録。招待IDはCSPRNG
AUTH-P0-002,機能要件v0.2 §6 P0,ロール・スコープ認可,全画面,全ロール,-,各ロールで操作,組織階層・期間・指標・保証契約単位で権限制御,src/lib/authorization/roles.ts,TC-009,unit+RLS,authorization.test.ts 14件 + tenant-isolation 56件 PASS,PASS,,SQLとTSの権限一致を機械検査
AUTH-P0-003,機能要件v0.2 §6 P0,監査法人アクセスの明示許諾,/assurance/*,監査法人,-,未アサイン案件へアクセス,監査法人管理者でも未アサイン案件を閲覧できない,supabase/migrations/0013_rls_assurance.sql,TC-010,実Supabase+実ブラウザ,verify:supabase「未アサイン法人管理者は案件を見られない」+E2E 404,PASS,,存在秘匿のため404
AUTH-P0-004,機能要件v0.2 §6 P0,Read-only by Default,/assurance/.../data-room,監査法人,許諾済み,クライアント原本を更新試行,監査法人はクライアント原本を更新できない,0012/0013 RLS（UPDATEポリシー不在）,TC-011,実Supabase,verify:supabase「監査法人はクライアントDataPointを更新できない」PASS,PASS,,DB層で不可能
AUTH-P0-005,機能要件v0.2 §6 P0,Supabase RLSによるデータ分離,全テーブル,全ロール,-,越権クエリ,企業間・案件間・監査法人間の越権をDB層で防止,supabase/migrations/0012-0017,TC-012,PGlite実Postgres+実Supabase,test:rls 56件 + verify:supabase 33件 PASS。check:rls 75/75テーブル169ポリシー,PASS,,
ORG-P0-001,機能要件v0.2 §6 P0,組織階層・連結範囲管理,/enterprise/organizations,企業管理者,-,組織の追加・編集,階層管理と連結方法/持分/除外理由の設定ができる,src/lib/services/master-data.ts + organizations/master-forms.tsx,TC-013,実ブラウザ+integration,master-data.spec「組織の連結方法と持分を編集できる」+ integration 7件（テナント分離含む）PASS,PASS,BUG-018,本QAで追加・編集UIを実装。除外理由は連結対象外時のみ保持
ORG-P0-002,機能要件v0.2 §6 P0,報告年度・収集キャンペーン,/enterprise/organizations,企業管理者,-,収集キャンペーンを作成,対象期間/組織/指標/期限をまとめて作成しスコープ展開,src/lib/services/master-data.ts createCollectionCampaign + master-forms.tsx,TC-014,実ブラウザ+integration,master-data.spec「収集キャンペーンを作成できる」（2組織×2指標=4スコープ）+ integration 4件（未選択拒否・テナント分離・権限）PASS,PASS,BUG-019,本QAで実装。対象組織×指標をスコープ展開。承認経路はworkflow_definitions側の管轄で本キャンペーンには含めない
MASTER-P0-001,機能要件v0.2 §6 P0,非財務指標マスター,/enterprise/organizations,企業管理者,-,指標マスターを追加・編集,全項目を管理できる,src/lib/services/master-data.ts + organizations/master-forms.tsx,TC-015,実ブラウザ+integration,master-data.spec「指標マスターを追加できる」+ integration 6件（重複拒否・権限・テナント分離）PASS,PASS,BUG-020,本QAで追加・編集UIを実装
MASTER-P0-002,機能要件v0.2 §6 P0,開示基準・質問マスター,/enterprise/disclosures/*,企業,-,基準・質問マスターを管理,項目/質問/Guidance/回答型/条件分岐/対象年度/版/適用条件を管理,disclosure_* テーブル+CDP/SSBJ画面,TC-016,実ブラウザ,CDP12問・SSBJ10項目が年度版付きで表示。条件分岐データ構造あり,PASS,,架空の縮小マスター（バッジ表示）。管理UIは無いがデータ構造要件は充足
DATA-P0-001,機能要件v0.2 §6 P0,Excel/CSV/PDF一括取込,/enterprise/imports,拠点担当,ログイン済み,ファイルをUpload,取込ジョブ・進捗・成功/警告/失敗を表示,src/lib/imports/ / imports画面,TC-017,実ブラウザ,vertical-slices「3-5. CSVを取り込み、プレビューを修正して確定する」PASS,PASS,,PDF抽出はunpdf。unit 5件
DATA-P0-002,機能要件v0.2 §6 P0,AI自動仕分け・構造化,/enterprise/imports/[jobId],拠点担当,取込ジョブ作成済み,AI構造化を実行,企業/拠点/期間/指標/単位/値/根拠箇所を推定,src/lib/ai/ importMapping,TC-018,実OpenAI+Mock,verify:openai:all で importMapping 実接続成功（confidence 0.99）,PASS,,gpt-5.6-terra で検証
DATA-P0-003,機能要件v0.2 §6 P0,取込プレビュー・確定,/enterprise/imports/[jobId],本社担当,AI構造化済み,プレビューを修正し確定,信頼度/未判定/重複/単位変換/警告を確認・修正し人が確定,imports/[jobId]/page.tsx,TC-019,実ブラウザ,vertical-slices 取込プレビュー修正→確定 PASS,PASS,,
DATA-P0-004,機能要件v0.2 §6 P0,手入力・標準テンプレート,/enterprise/data /enterprise/imports,拠点担当,-,手入力/前年度複製/Excelテンプレート出力・再取込/コピペ表入力,4手段すべてが利用できる,data-entry.ts carryForward/buildTemplateWorkbook / api/exports/template / pasteImportAction,TC-020,実ブラウザ,"integration data-entry-aggregation 11件+review-fixes（hqOnly判定）PASS / e2e data-entry-aggregation「前年度から複製→draft作成」「テンプレートDL」「コピペ表入力→取込ジョブ」PASS",PASS,BUG-021/042,4手段すべて実装。本社限定判定は metric_definitions.hq_only（migration 0019）に基づく
DATA-P0-005,機能要件v0.2 §6 P0,非財務データ台帳,/enterprise/data,企業,-,一覧表示,組織×期間×指標×値×単位×境界×算定方法×出所×状態×版が一意レコード,data_points + data_point_versions,TC-021,実DB+実ブラウザ,DB側ページングで25件/頁。Version履歴が版管理,PASS,,
DATA-P0-006,機能要件v0.2 §6 P0,拠点別・連結集計,/enterprise/dashboard /ghg,企業,-,集計表示,合計/平均/加重平均/比率/分子分母/内部取引控除/除外/推計,src/lib/services/aggregation.ts computeConsolidatedAggregation / src/lib/domain/boundaries.ts / ghg画面 連結集計カード,TC-022,実ブラウザ,"integration: 単純合計/持分調整/内部取引控除(2490.5t)/連結値/前年推計/加重平均(Σ分子÷Σ分母)/単純平均/除外拠点 PASS / review-fixes: 内部取引行がData Room・母集団・前年比照合へ混入しないことを検証 / e2e: GHG画面 連結集計カードPASS",PASS,BUG-022/039/041,known-limitations S-9解消
DATA-P0-007,機能要件v0.2 §6 P0,トレーサビリティ,/enterprise/data/[id],企業,-,開示値から遡る,集計内訳/各拠点値/算定式/元ファイル/ページ・セル/修正履歴/承認履歴まで逆引き,data/[dataPointId]/page.tsx,TC-023,実ブラウザ,算定内訳・Version履歴・Evidence・承認履歴・Audit Timelineを確認,PASS,,
